#index, Paramètre P, Amplitude
13166,162,116
13167,198,53
13168,159,82
13169,195,72
13170,141,10
13171,159,107
13172,200,20
13173,148,54
13174,139,20
13175,165,22
13176,156,33
13177,109,10
13178,173,39
13179,156,40
13180,172,46
13181,167,92
13182,170,110
13183,190,74
13184,144,26
13185,186,13
13186,149,45
13187,168,70
13188,157,19
13189,157,77
13190,187,81
13191,152,74
13192,161,59
13193,183,54
13194,90,9
13195,167,66
13196,163,26
13197,181,52
13198,83,8
13199,171,15
13200,32,8
13201,175,107
13202,194,40
13203,164,118
13204,168,45
13205,184,24
13206,195,9
13207,163,25
13208,176,77
13209,172,43
13210,193,13
13211,122,9
13212,136,25
13213,165,47
13214,160,32
13215,157,86
13216,161,41
13217,169,95
13218,163,96
13219,161,11
13220,188,35
13221,199,33
13222,157,74
13223,176,24
13224,186,84
13225,66,7
13226,67,10
13227,164,94
13228,164,60
13229,162,50
13230,187,79
13231,167,106
13232,188,43
13233,164,105
13234,151,47
13235,165,20
13236,155,96
13237,185,42
13238,160,45
13239,155,38
13240,169,97
13241,158,104
13242,189,17
13243,199,73
13244,155,51
13245,145,38
13246,161,108
13247,161,43
13248,196,27
13249,191,27
13250,187,60
13251,186,30
13252,187,76
13253,196,190
13254,167,69
13255,168,96
13256,163,111
13257,183,30
13258,167,96
13259,198,47
13260,171,65
13261,172,14
13262,213,20
13263,159,52
13264,200,28
13265,161,41
13266,161,72
13267,179,36
13268,187,32
13269,152,40
13270,164,112
13271,159,41
13272,160,27
13273,162,38
13274,160,111
13275,164,11
13276,164,47
13277,190,68
13278,169,44
13279,191,85
13280,168,112
13281,189,74
13282,192,70
13283,60,9
13284,206,29
13285,168,134
13286,180,14
13287,146,64
13288,175,32
13289,172,80
13290,159,122
13291,196,16
13292,160,53
13293,186,37
13294,189,47
13295,186,83
13296,192,31
13297,170,57
13298,175,97
13299,191,25
13300,200,29
13301,157,113
13302,165,18
13303,49,9
13304,53,14
13305,181,10
13306,160,105
13307,194,39
13308,173,111
13309,189,43
13310,153,60
13311,170,47
13312,183,93
13313,194,39
13314,193,10
13315,181,10
13316,161,106
13317,161,70
13318,201,36
13319,182,38
13320,200,63
13321,194,45
13322,187,70
13323,154,37
13324,181,24
13325,156,82
13326,174,79
13327,84,11
13328,186,33
13329,167,118
13330,162,41
13331,157,61
13332,183,73
13333,155,45
13334,171,21
13335,156,144
13336,197,66
13337,193,12
13338,161,106
13339,187,54
13340,161,121
13341,160,122
13342,165,43
13343,169,10
13344,185,21
13345,192,73
13346,155,51
13347,278,116
13348,167,118
13349,183,25
13350,155,92
13351,156,123
13352,196,21
13353,159,112
13354,173,110
13355,166,99
13356,173,13
13357,171,11
13358,184,60
13359,80,20
13360,187,65
13361,199,41
13362,162,28
13363,192,91
13364,168,28
13365,160,20
13366,160,97
13367,162,70
13368,212,10
13369,168,41
13370,143,17
13371,175,39
13372,155,22
13373,191,33
13374,159,25
13375,167,108
13376,166,104
13377,168,58
13378,163,79
13379,181,54
13380,163,82
13381,156,68
13382,153,19
13383,187,67
13384,173,40
13385,163,48
13386,162,111
13387,158,46
13388,150,44
13389,191,45
13390,184,34
13391,72,8
13392,168,60
13393,182,75
13394,191,78
13395,156,52
13396,141,16
13397,173,11
13398,166,20
13399,181,55
13400,174,49
13401,162,102
13402,96,9
13403,188,34
13404,160,100
13405,155,49
13406,194,37
13407,155,20
13408,162,24
13409,175,68
13410,181,24
13411,158,78
13412,187,27
13413,181,11
13414,195,44
13415,159,57
13416,162,123
13417,187,18
13418,160,27
13419,173,114
13420,175,24
13421,145,41
13422,154,35
13423,199,20
13424,156,29
13425,146,49
13426,184,51
13427,194,49
13428,154,62
13429,183,48
13430,188,68
13431,117,9
13432,182,52
13433,199,68
13434,160,43
13435,159,61
13436,158,37
13437,159,39
13438,165,114
13439,179,17
13440,12,8
13441,164,66
13442,182,21
13443,190,14
13444,160,45
13445,39,7
13446,175,21
13447,194,55
13448,191,41
13449,192,76
13450,158,8
13451,149,33
13452,159,104
13453,152,185
13454,148,10
13455,153,87
13456,173,24
13457,164,23
13458,195,72
13459,193,27
13460,166,106
13461,155,12
13462,182,87
13463,194,46
13464,155,102
13465,162,54
13466,189,66
13467,164,10
13468,165,12
13469,187,60
13470,171,9
13471,185,26
13472,114,9
13473,158,42
13474,161,115
13475,179,29
13476,154,40
13477,195,21
13478,175,94
13479,142,24
13480,167,113
13481,196,85
13482,147,82
13483,167,61
13484,174,9
13485,193,38
13486,179,28
13487,192,41
13488,173,98
13489,146,33
13490,145,56
13491,187,75
13492,199,26
13493,183,70
13494,168,119
13495,192,15
13496,142,16
13497,164,49
13498,160,26
13499,186,46
13500,172,87
13501,203,33
13502,183,37
13503,178,22
13504,158,45
13505,172,20
13506,198,77
13507,183,46
13508,162,35
13509,197,42
13510,198,25
13511,197,30
13512,160,112
13513,191,71
13514,164,186
13515,163,63
13516,160,70
13517,193,34
13518,186,73
13519,172,24
13520,182,21
13521,163,118
13522,145,19
13523,179,23
13524,156,14
13525,154,110
13526,159,89
13527,195,79
13528,167,92
13529,149,18
13530,159,97
13531,170,25
13532,142,29
13533,161,127
13534,188,83
13535,159,56
13536,157,67
13537,163,115
13538,151,145
13539,175,39
13540,158,63
13541,155,114
13542,164,16
13543,158,25
13544,152,113
13545,188,55
13546,178,16
13547,155,67
13548,162,53
13549,168,13
13550,195,50
13551,161,42
13552,135,13
13553,192,73
13554,153,13
13555,163,93
13556,166,107
13557,164,118
13558,159,54
13559,152,42
13560,73,9
13561,194,76
13562,175,16
13563,183,37
13564,183,14
13565,182,34
13566,162,105
13567,149,137
13568,182,80
13569,164,112
13570,179,44
13571,163,108
13572,147,60
13573,171,45
13574,185,76
13575,157,7
13576,83,10
13577,152,37
13578,150,69
13579,164,20
13580,173,50
13581,162,40
13582,194,57
13583,159,10
13584,164,91
13585,173,29
13586,166,21
13587,146,87
13588,162,120
13589,176,47
13590,168,24
13591,189,44
13592,186,86
13593,193,35
13594,169,57
13595,190,69
13596,189,15
13597,180,11
13598,192,42
13599,74,8
13600,190,31
13601,165,77
13602,163,98
13603,197,17
13604,174,34
13605,188,82
13606,176,31
13607,180,29
13608,153,217
13609,174,100
13610,158,20
13611,187,66
13612,151,23
13613,154,37
13614,173,77
13615,160,115
13616,158,126
13617,179,21
13618,190,18
13619,178,12
13620,184,38
13621,188,47
13622,161,91
13623,153,50
13624,27,9
13625,166,38
13626,23,8
13627,77,39
13628,165,109
13629,159,84
13630,169,32
13631,190,100
13632,155,89
13633,170,101
13634,241,9
13635,167,102
13636,171,46
13637,184,47
13638,161,74
13639,166,101
13640,166,83
13641,190,51
13642,175,70
13643,160,49
13644,189,52
13645,187,74
13646,173,20
13647,154,15
13648,181,17
13649,162,29
13650,210,30
13651,191,25
13652,177,25
13653,172,17
13654,232,120
13655,161,11
13656,161,38
13657,178,12
13658,194,75
13659,179,209
13660,187,80
13661,158,40
13662,58,9
13663,161,120
13664,163,124
13665,196,77
13666,187,28
13667,183,42
13668,153,13
13669,200,76
13670,193,98
13671,166,69
13672,164,82
13673,180,36
13674,191,140
13675,160,100
13676,157,91
13677,181,56
13678,203,24
13679,155,41
13680,186,10
13681,157,33
13682,134,10
13683,196,32
13684,172,26
13685,174,37
13686,180,77
13687,168,33
13688,159,98
13689,190,83
13690,186,68
13691,160,67
13692,171,109
13693,193,32
13694,152,86
13695,187,77
13696,197,51
13697,167,28
13698,198,29
13699,185,38
13700,193,69
13701,184,90
13702,107,12
13703,155,46
13704,184,60
13705,148,27
13706,168,96
13707,198,26
13708,184,52
13709,192,43
13710,188,72
13711,188,75
13712,163,111
13713,154,117
13714,159,93
13715,186,23
13716,185,35
13717,186,73
13718,154,33
13719,183,40
13720,199,29
13721,179,23
13722,187,61
13723,185,65
13724,161,76
13725,164,13
13726,187,33
13727,157,36
13728,161,69
13729,154,88
13730,190,74
13731,150,36
13732,161,28
13733,194,34
13734,114,8
13735,161,37
13736,139,9
13737,164,112
13738,191,34
13739,147,52
13740,154,53
13741,184,37
13742,197,27
13743,52,7
13744,158,102
13745,157,61
13746,149,78
13747,164,25
13748,161,22
13749,182,10
13750,162,89
13751,181,23
13752,164,21
13753,157,37
13754,164,88
13755,186,34
13756,191,33
13757,164,62
13758,197,9
13759,156,97
13760,152,57
13761,185,76
13762,193,75
13763,179,20
13764,202,41
13765,157,65
13766,180,7
13767,155,36
13768,159,75
13769,197,51
13770,162,214
13771,160,41
13772,193,14
13773,183,22
13774,178,17
13775,195,26
13776,195,75
13777,173,103
13778,173,158
13779,182,81
13780,191,163
13781,193,77
13782,149,10
13783,167,120
13784,160,48
13785,197,15
13786,180,65
13787,113,9
13788,148,63
13789,194,9
13790,147,13
13791,146,16
13792,157,46
13793,167,16
13794,158,73
13795,169,79
13796,149,10
13797,188,37
13798,180,111
13799,178,37
13800,200,75
13801,185,29
13802,168,17
13803,176,37
13804,162,122
13805,127,45
13806,165,10
13807,185,92
13808,177,146
13809,161,115
13810,194,75
13811,78,9
13812,185,77
13813,191,75
13814,216,13
13815,157,71
13816,161,39
13817,182,14
13818,188,61
13819,148,40
13820,159,50
13821,164,97
13822,164,102
13823,188,75
13824,190,82
13825,166,30
13826,176,36
13827,182,7
13828,121,7
13829,151,12
13830,86,9
13831,183,17
13832,149,33
13833,73,9
13834,168,27
13835,161,84
13836,162,26
13837,160,117
13838,171,99
13839,191,89
13840,166,20
13841,195,35
13842,192,39
13843,167,57
13844,199,18
13845,164,117
13846,174,105
13847,186,21
13848,153,16
13849,193,37
13850,157,122
13851,169,25
13852,166,109
13853,161,111
13854,162,24
13855,129,8
13856,188,21
13857,178,58
13858,161,40
13859,157,18
13860,191,24
13861,190,18
13862,202,26
13863,159,71
13864,99,12
13865,157,116
13866,164,118
13867,189,30
13868,191,10
13869,172,8
13870,188,42
13871,163,105
13872,197,39
13873,154,35
13874,61,10
13875,152,17
13876,157,110
13877,185,74
13878,173,107
13879,168,129
13880,141,18
13881,153,44
13882,189,75
13883,161,123
13884,172,13
13885,84,8
13886,187,68
13887,166,50
13888,164,8
13889,164,49
13890,162,71
13891,180,36
13892,158,67
13893,154,45
13894,166,48
13895,187,73
13896,165,74
13897,198,89
13898,181,93
13899,183,12
13900,169,38
13901,162,42
13902,162,43
13903,152,19
13904,196,51
13905,192,47
13906,162,23
13907,184,43
13908,190,8
13909,160,14
13910,148,30
13911,189,87
13912,163,101
13913,172,34
13914,167,54
13915,189,46
13916,162,113
13917,166,55
13918,195,66
13919,145,7
13920,157,100
13921,187,21
13922,154,59
13923,146,113
13924,173,104
13925,161,103
13926,168,103
13927,153,24
13928,189,70
13929,165,53
13930,189,77
13931,167,98
13932,150,37
13933,169,89
13934,190,78
13935,160,102
13936,164,106
13937,152,48
13938,163,9
13939,167,24
13940,195,36
13941,160,39
13942,70,9
13943,187,17
13944,189,68
13945,179,40
13946,191,70
13947,154,37
13948,195,43
13949,186,23
13950,55,8
13951,173,49
13952,184,32
13953,186,17
13954,198,24
13955,159,79
13956,112,9
13957,171,97
13958,171,11
13959,157,54
13960,160,28
13961,177,51
13962,184,41
13963,188,49
13964,196,11
13965,190,47
13966,162,54
13967,158,117
13968,156,103
13969,173,14
13970,141,26
13971,157,115
13972,154,57
13973,193,27
13974,171,110
13975,73,8
13976,166,41
13977,167,17
13978,170,55
13979,188,66
13980,189,62
13981,168,9
13982,188,25
13983,157,50
13984,172,170
13985,164,8
13986,192,14
13987,192,13
13988,189,77
13989,194,50
13990,163,77
13991,143,11
13992,175,15
13993,161,98
13994,153,45
13995,8,7
13996,192,16
13997,186,27
13998,157,54
13999,164,40
14000,166,43
14001,180,18
14002,188,43
14003,173,27
14004,42,8
14005,145,15
14006,161,95
14007,186,82
14008,184,61
14009,171,106
14010,165,94
14011,164,8
14012,147,18
14013,157,96
14014,160,33
14015,182,14
14016,157,50
14017,187,40
14018,162,28
14019,192,56
14020,173,42
14021,214,14
14022,153,24
14023,178,15
14024,178,26
14025,118,10
14026,155,73
14027,191,68
14028,193,76
14029,197,12
14030,194,52
14031,165,89
14032,164,11
14033,171,25
14034,173,84
14035,161,99
14036,137,11
14037,163,61
14038,163,19
14039,184,87
14040,164,43
14041,185,25
14042,199,21
14043,201,38
14044,197,46
14045,167,98
14046,185,50
14047,160,119
14048,189,55
14049,154,51
14050,160,77
14051,182,47
14052,159,9
14053,192,78
14054,169,13
14055,161,106
14056,154,68
14057,132,12
14058,159,23
14059,182,75
14060,169,67
14061,152,62
14062,169,109
14063,170,17
14064,152,18
14065,181,9
14066,188,69
14067,189,21
14068,55,9
14069,195,34
14070,154,24
14071,167,146
14072,69,9
14073,34,7
14074,192,81
14075,194,16
14076,151,41
14077,167,100
14078,199,23
14079,163,56
14080,184,83
14081,178,28
14082,62,10
14083,190,86
14084,48,8
14085,188,29
14086,177,46
14087,187,17
14088,159,63
14089,196,9
14090,187,78
14091,193,30
14092,160,14
14093,193,79
14094,159,118
14095,156,126
14096,168,13
14097,188,33
14098,186,31
14099,182,26
14100,164,112
14101,194,16
14102,135,20
14103,171,214
14104,135,23
14105,148,39
14106,184,39
14107,165,120
14108,187,45
14109,171,72
14110,155,13
14111,164,108
14112,149,51
14113,91,9
14114,170,15
14115,179,33
14116,191,13
14117,185,20
14118,139,20
14119,153,44
14120,160,99
14121,156,55
14122,176,50
14123,178,124
14124,185,85
14125,195,57
14126,148,22
14127,211,22
14128,150,217
14129,154,37
14130,168,21
14131,164,69
14132,166,106
14133,179,15
14134,162,103
14135,175,32
14136,166,86
14137,150,24
14138,162,29
14139,164,51
14140,151,10
14141,89,9
14142,163,91
14143,163,44
14144,193,28
14145,122,9
14146,197,31
14147,167,115
14148,154,30
14149,157,39
14150,163,70
14151,180,17
14152,166,113
14153,165,111
14154,180,24
14155,188,35
14156,201,85
14157,183,54
14158,168,39
14159,177,11
14160,149,24
14161,201,15
14162,191,42
14163,146,19
14164,118,8
14165,179,55
14166,183,35
14167,161,38
14168,167,41
14169,194,87
14170,154,27
14171,187,86
14172,186,20
14173,177,33
14174,184,71
14175,151,10
14176,195,61
14177,203,10
14178,157,38
14179,163,40
14180,156,31
14181,191,25
14182,201,73
14183,157,115
14184,150,15
14185,166,66
14186,167,116
14187,33,8
14188,161,17
14189,174,42
14190,205,16
14191,165,43
14192,197,179
14193,162,103
14194,183,80
14195,98,9
14196,201,83
14197,203,22
14198,196,34
14199,152,94
14200,182,97
14201,166,69
14202,178,29
14203,165,98
14204,181,43
14205,164,35
14206,188,69
14207,63,10
14208,163,25
14209,166,48
14210,164,61
14211,170,17
14212,173,23
14213,162,52
14214,189,34
14215,184,42
14216,168,125
14217,151,26
14218,167,67
14219,157,83
14220,186,40
14221,187,26
14222,169,47
14223,70,10
14224,184,25
14225,187,17
14226,37,8
14227,167,63
14228,174,20
14229,176,86
14230,177,210
14231,159,22
14232,164,67
14233,188,82
14234,194,30
14235,181,76
14236,167,18
14237,194,79
14238,172,25
14239,186,45
14240,145,12
14241,159,67
14242,154,173
14243,155,51
14244,162,90
14245,176,36
14246,166,69
14247,160,82
14248,164,116
14249,174,61
14250,168,42
14251,164,101
14252,150,27
14253,170,116
14254,205,67
14255,192,44
14256,166,122
14257,150,65
14258,192,79
14259,180,13
14260,180,8
14261,171,27
14262,167,72
14263,182,10
14264,162,111
14265,163,116
14266,186,29
14267,187,44
14268,196,37
14269,169,107
14270,144,31
14271,195,30
14272,168,124
14273,148,60
14274,166,43
14275,156,112
14276,183,15
14277,187,26
14278,177,10
14279,185,87
14280,18,7
14281,176,77
14282,190,11
14283,151,14
14284,129,8
14285,98,8
14286,189,65
14287,166,63
14288,162,53
14289,77,10
14290,186,73
14291,186,91
14292,160,55
14293,172,114
14294,153,34
14295,159,100
14296,155,22
14297,173,121
14298,182,83
14299,195,74
14300,203,22
14301,197,24
14302,91,210
14303,68,9
14304,15,7
14305,160,61
14306,160,109
14307,150,36
14308,211,13
14309,152,43
14310,159,21
14311,159,133
14312,182,77
14313,188,25
14314,162,28
14315,165,107
14316,172,27
14317,207,43
14318,160,100
14319,161,66
14320,154,93
14321,192,36
14322,198,15
14323,192,31
14324,154,117
14325,160,115
14326,180,89
14327,189,38
14328,195,57
14329,180,78
14330,155,111
14331,158,94
14332,194,18
14333,192,10
14334,175,35
14335,165,108
14336,168,20
14337,179,22
14338,187,74
14339,201,16
14340,162,210
14341,165,23
14342,187,37
14343,176,104
14344,164,105
14345,152,141
14346,168,79
14347,170,119
14348,151,35
14349,175,19
14350,192,45
14351,123,10
14352,163,38
14353,158,92
14354,162,111
14355,189,67
14356,146,39
14357,156,50
14358,160,48
14359,186,74
14360,178,9
14361,185,87
14362,160,119
14363,189,68
14364,165,73
14365,161,54
14366,186,61
14367,56,8
14368,-2,6
14369,161,127
14370,153,51
14371,173,96
14372,164,109
14373,145,50
14374,184,77
14375,186,24
14376,153,50
14377,153,21
14378,56,8
14379,186,71
14380,168,107
14381,188,68
14382,187,79
14383,162,25
14384,190,72
14385,153,97
14386,158,112
14387,166,111
14388,165,113
14389,192,24
14390,179,10
14391,156,97
14392,163,85
14393,187,9
14394,194,64
14395,153,19
14396,187,22
14397,173,96
14398,178,52
14399,187,101
14400,147,28
14401,154,105
14402,187,85
14403,195,37
14404,168,107
14405,148,51
14406,153,79
14407,194,81
14408,30,8
14409,179,78
14410,187,13
14411,151,54
14412,157,47
14413,184,51
14414,193,30
14415,164,34
14416,59,9
14417,151,37
14418,175,93
14419,167,43
14420,166,113
14421,171,11
14422,181,83
14423,192,27
14424,171,17
14425,162,34
14426,162,26
14427,141,10
14428,180,23
14429,160,18
14430,199,22
14431,195,14
14432,167,22
14433,107,8
14434,143,18
14435,175,24
14436,202,17
14437,199,27
14438,172,9
14439,161,116
14440,161,52
14441,210,14
14442,199,30
14443,160,72
14444,189,27
14445,185,28
14446,169,30
14447,196,14
14448,155,41
14449,185,12
14450,185,47
14451,179,54
14452,182,50
14453,162,48
14454,191,38
14455,166,34
14456,158,111
14457,202,32
14458,190,45
14459,163,88
14460,162,16
14461,187,84
14462,166,23
14463,170,41
14464,65,7
14465,179,17
14466,195,81
14467,195,15
14468,195,50
14469,195,41
14470,181,29
14471,159,172
14472,168,41
14473,159,21
14474,190,21
14475,170,66
14476,160,110
14477,194,101
14478,185,13
14479,155,21
14480,177,48
14481,20,8
14482,166,119
14483,192,68
14484,191,14
14485,188,48
14486,161,47
14487,185,68
14488,181,44
14489,141,11
14490,175,23
14491,193,67
14492,171,8
14493,187,62
14494,161,116
14495,177,70
14496,160,74
14497,187,9
14498,163,104
14499,188,15
14500,117,10
14501,190,79
14502,196,32
14503,162,41
14504,160,83
14505,177,19
14506,183,97
14507,170,31
14508,167,109
14509,161,52
14510,79,47
14511,203,13
14512,179,62
14513,158,35
14514,164,27
14515,166,16
14516,158,68
14517,188,46
14518,103,12
14519,143,51
14520,-27,6
14521,183,8
14522,131,7
14523,165,11
14524,138,29
14525,165,56
14526,167,111
14527,186,80
14528,58,8
14529,195,72
14530,178,11
14531,180,26
14532,161,52
14533,178,50
14534,156,52
14535,167,50
14536,161,8
14537,156,53
14538,199,14
14539,177,34
14540,190,59
14541,176,42
14542,155,15
14543,159,57
14544,156,110
14545,171,71
14546,158,134
14547,196,29
14548,160,37
14549,195,17
14550,211,40
14551,193,33
14552,145,20
14553,178,44
14554,150,30
14555,175,34
14556,183,18
14557,191,13
14558,153,39
14559,179,13
14560,161,105
14561,187,29
14562,177,35
14563,180,31
14564,153,60
14565,140,9
14566,190,73
14567,157,60
14568,157,97
14569,175,85
14570,182,40
14571,183,65
14572,185,29
14573,154,44
14574,169,27
14575,203,15
14576,162,91
14577,187,25
14578,173,13
14579,190,81
14580,190,125
14581,166,33
14582,169,46
14583,157,54
14584,156,112
14585,161,45
14586,158,111
14587,156,125
14588,155,43
14589,167,46
14590,178,26
14591,170,44
14592,157,74
14593,183,12
14594,171,94
14595,169,107
14596,162,49
14597,159,13
14598,166,70
14599,210,19
14600,160,73
14601,165,98
14602,155,222
14603,167,40
14604,155,66
14605,172,13
14606,163,108
14607,158,71
14608,169,109
14609,157,34
14610,165,105
14611,165,108
14612,200,17
14613,188,35
14614,173,64
14615,144,76
14616,168,101
14617,164,36
14618,192,12
14619,187,83
14620,188,78
14621,196,80
14622,204,14
14623,67,9
14624,161,28
14625,174,115
14626,160,68
14627,168,54
14628,184,67
14629,54,8
14630,165,48
14631,73,8
14632,165,60
14633,159,116
14634,152,78
14635,196,38
14636,157,105
14637,149,14
14638,159,65
14639,178,28
14640,167,34
14641,155,126
14642,198,36
14643,152,65
14644,160,19
14645,153,44
14646,146,53
14647,193,55
14648,169,106
14649,196,16
14650,183,18
14651,179,36
14652,53,8
14653,163,34
14654,147,84
14655,155,88
14656,185,20
14657,186,18
14658,159,117
14659,191,77
14660,186,59
14661,191,79
14662,185,35
14663,151,130
14664,185,38
14665,161,129
14666,165,14
14667,194,78
14668,201,69
14669,195,67
14670,162,137
14671,184,91
14672,185,79
14673,158,38
14674,177,44
14675,196,39
14676,157,38
14677,152,34
14678,191,73
14679,147,82
14680,189,75
14681,156,48
14682,185,21
14683,166,54
14684,157,91
14685,164,97
14686,191,23
14687,158,29
14688,182,62
14689,153,13
14690,193,77
14691,180,72
14692,168,10
14693,162,37
14694,149,56
14695,147,97
14696,162,106
14697,171,48
14698,171,110
14699,183,12
14700,165,108
14701,155,63
14702,155,42
14703,200,12
14704,184,73
14705,192,68
14706,195,21
14707,161,75
14708,184,65
14709,166,70
14710,145,24
14711,154,114
14712,164,59
14713,71,9
14714,189,31
14715,199,28
14716,82,11
14717,172,39
14718,204,16
14719,165,12
14720,153,16
14721,160,27
14722,182,41
14723,167,32
14724,167,82
14725,178,19
14726,186,30
14727,162,65
14728,199,28
14729,187,25
14730,161,30
14731,184,60
14732,192,81
14733,187,78
14734,58,10
14735,170,39
14736,167,67
14737,148,58
14738,187,26
14739,157,31
14740,185,84
14741,198,29
14742,186,62
14743,159,217
14744,184,83
14745,193,11
14746,171,108
14747,196,22
14748,167,91
14749,150,34
14750,195,18
14751,133,52
14752,178,48
14753,157,23
14754,170,22
14755,171,52
14756,158,107
14757,180,34
14758,172,40
14759,182,53
14760,167,114
14761,158,115
14762,191,19
14763,155,119
14764,157,116
14765,153,31
14766,160,30
14767,144,26
14768,182,26
14769,190,42
14770,197,33
14771,99,9
14772,147,46
14773,192,33
14774,127,7
14775,151,38
14776,194,27
14777,191,69
14778,161,70
14779,139,29
14780,162,194
14781,174,213
14782,167,107
14783,198,63
14784,196,29
14785,150,25
14786,46,8
14787,172,32
14788,191,71
14789,164,107
14790,160,110
14791,165,47
14792,196,69
14793,194,21
14794,185,42
14795,163,65
14796,170,102
14797,165,51
14798,191,31
14799,156,27
14800,161,26
14801,189,32
14802,164,67
14803,163,30
14804,77,8
14805,72,65
14806,189,65
14807,159,56
14808,193,28
14809,191,23
14810,159,22
14811,175,26
14812,194,19
14813,175,102
14814,158,19
14815,68,9
14816,161,112
14817,191,84
14818,195,80
14819,170,81
14820,152,42
14821,71,9
14822,183,35
14823,172,13
14824,190,73
14825,194,28
14826,190,14
14827,170,78
14828,174,34
14829,184,35
14830,183,47
14831,189,84
14832,177,29
14833,175,50
14834,170,92
14835,198,10
14836,155,36
14837,174,15
14838,161,49
14839,158,46
14840,156,30
14841,175,12
14842,154,70
14843,166,43
14844,197,48
14845,157,23
14846,166,35
14847,168,17
14848,164,102
14849,182,51
14850,186,21
14851,154,76
14852,173,33
14853,176,42
14854,186,29
14855,192,26
14856,187,63
14857,189,56
14858,191,14
14859,171,10
14860,184,19
14861,176,96
14862,160,97
14863,154,21
14864,195,37
14865,176,13
14866,174,14
14867,195,77
14868,174,15
14869,156,36
14870,163,60
14871,163,97
14872,155,38
14873,154,71
14874,180,12
14875,117,12
14876,162,61
14877,182,18
14878,157,31
14879,183,32
14880,177,11
14881,177,53
14882,149,16
14883,165,110
14884,186,48
14885,189,30
14886,155,104
14887,186,9
14888,167,62
14889,155,41
14890,142,43
14891,137,26
14892,168,41
14893,187,41
14894,192,35
14895,157,105
14896,166,108
14897,153,51
14898,189,38
14899,197,58
14900,176,45
14901,155,126
14902,164,10
14903,166,90
14904,165,149
14905,158,30
14906,152,48
14907,191,33
14908,171,124
14909,161,113
14910,180,40
14911,151,25
14912,201,44
14913,222,11
14914,162,101
14915,164,86
14916,191,32
14917,182,23
14918,124,11
14919,176,17
14920,174,21
14921,190,28
14922,140,59
14923,172,94
14924,192,74
14925,156,35
14926,144,26
14927,158,60
14928,184,83
14929,168,123
14930,187,47
14931,180,44
14932,194,12
14933,160,91
14934,143,8
14935,193,77
14936,192,79
14937,198,17
14938,173,28
14939,150,54
14940,188,50
14941,203,14
14942,194,38
14943,159,111
14944,169,34
14945,156,76
14946,160,17
14947,189,86
14948,183,24
14949,190,65
14950,171,108
14951,165,33
14952,153,105
14953,169,16
14954,174,25
14955,199,14
14956,167,25
14957,159,23
14958,167,54
14959,151,50
14960,154,41
14961,157,56
14962,165,35
14963,157,73
14964,157,104
14965,167,23
14966,163,11
14967,164,42
14968,198,69
14969,167,41
14970,180,42
14971,190,82
14972,152,8
14973,161,110
14974,164,108
14975,149,100
14976,155,69
14977,187,67
14978,156,18
14979,155,70
14980,179,23
14981,179,78
14982,155,28
14983,160,58
14984,175,31
14985,152,105
14986,158,45
14987,186,13
14988,167,66
14989,190,42
14990,199,39
14991,192,78
14992,167,51
14993,147,18
14994,115,13
14995,164,33
14996,191,55
14997,193,96
14998,151,15
14999,192,18
15000,167,22
15001,149,70
15002,178,38
15003,174,55
15004,172,9
15005,160,122
15006,166,121
15007,161,28
15008,175,15
15009,177,18
15010,161,22
15011,154,60
15012,164,126
15013,153,38
15014,191,47
15015,170,47
15016,192,83
15017,149,49
15018,187,12
15019,162,99
15020,177,34
15021,164,44
15022,151,46
15023,153,46
15024,188,66
15025,186,76
15026,112,8
15027,192,34
15028,163,90
15029,168,98
15030,171,9
15031,201,47
15032,165,32
15033,185,72
15034,172,89
15035,179,13
15036,168,84
15037,190,77
15038,164,61
15039,171,54
15040,180,89
15041,172,12
15042,205,29
15043,-10,7
15044,65,8
15045,156,64
15046,164,48
15047,152,93
15048,193,40
15049,155,50
15050,155,73
15051,176,31
15052,157,217
15053,192,77
15054,192,71
15055,193,57
15056,182,72
15057,150,42
15058,193,16
15059,64,9
15060,184,55
15061,161,97
15062,194,46
15063,164,108
15064,211,29
15065,155,103
15066,198,15
15067,168,24
15068,185,90
15069,175,11
15070,160,114
15071,150,8
15072,165,37
15073,166,99
15074,165,28
15075,180,84
15076,152,53
15077,150,13
15078,155,57
15079,168,174
15080,163,58
15081,154,73
15082,175,100
15083,172,99
15084,196,29
15085,160,102
15086,189,30
15087,174,38
15088,171,92
15089,175,9
15090,203,29
15091,150,30
15092,160,12
15093,192,82
15094,149,65
15095,174,92
15096,163,98
15097,179,33
15098,183,81
15099,141,12
15100,160,42
15101,186,36
15102,161,113
15103,187,52
15104,179,210
15105,181,31
15106,154,41
15107,88,9
15108,158,11
15109,81,8
15110,195,47
15111,189,69
15112,158,102
15113,173,80
15114,203,145
15115,174,84
15116,192,17
15117,166,36
15118,201,15
15119,150,36
15120,152,23
15121,171,25
15122,154,101
15123,190,45
15124,170,103
15125,172,36
15126,77,8
15127,168,72
15128,165,20
15129,109,89
15130,162,83
15131,167,83
15132,111,11
15133,165,41
15134,164,94
15135,159,110
15136,154,12
15137,128,8
15138,159,74
15139,191,78
15140,160,90
15141,195,27
15142,199,57
15143,191,48
15144,153,28
15145,151,103
15146,157,101
15147,178,11
15148,171,123
15149,166,80
15150,150,13
15151,0,7
15152,183,73
15153,187,81
15154,155,59
15155,53,10
15156,158,46
15157,158,97
15158,80,8
15159,150,10
15160,158,48
15161,149,17
15162,165,49
